,category
Alanine,Amino Acid
Arginine,Amino Acid
Asparagine,Amino Acid
Aspartic Acid,Amino Acid
C16 Carnitine,Acylcarnitine
C18:1 Carnitine,Acylcarnitine
C2 Carnitine,Acylcarnitine
C3 Carnitine,Acylcarnitine
C4 Carnitine,Acylcarnitine
C5 Carnitine,Acylcarnitine
Carnitine,Acylcarnitine
FA 10:0,Fatty Acid
FA 12:0,Fatty Acid
FA 14:0,Fatty Acid
FA 16:0,Fatty Acid
FA 16:1,Fatty Acid
FA 18:0,Fatty Acid
FA 18:1,Fatty Acid
FA 18:2,Fatty Acid
FA 18:3,Fatty Acid
FA 20:0,Fatty Acid
FA 20:1,Fatty Acid
FA 20:2,Fatty Acid
FA 20:3,Fatty Acid
FA 20:4,Fatty Acid
FA 20:5,Fatty Acid
FA 22:0 ,Fatty Acid
FA 22:3,Fatty Acid
FA 22:4,Fatty Acid
FA 22:5,Fatty Acid
FA 22:6,Fatty Acid
GABA,Amino Acid
Glutamine,Sugar
Glutamic Acid,Amino Acid
Glucose,Amino Acid
Glycine,Amino Acid
Histidine,Amino Acid
Leucine/Isoleucine,Amino Acid
LPC 14:0,Lysophospholipid
LPC 16:0,Lysophospholipid
LPC 16:1,Lysophospholipid
LPC 18:0,Lysophospholipid
LPC 18:1,Lysophospholipid
LPC 18:2,Lysophospholipid
LPC 20:1,Lysophospholipid
LPC 20:2,Lysophospholipid
LPC 20:3,Lysophospholipid
LPC 20:4,Lysophospholipid
Lysine,Amino Acid
Methionine,Amino Acid
PC 26:0,Phosphatidylcholine
PC 28:0,Phosphatidylcholine
PC 28:1,Phosphatidylcholine
PC 30:0,Phosphatidylcholine
PC 30:1,Phosphatidylcholine
PC 30:2,Phosphatidylcholine
PC 30:3,Phosphatidylcholine
PC 32:0,Phosphatidylcholine
PC 32:1,Phosphatidylcholine
PC 32:2,Phosphatidylcholine
PC 32:3,Phosphatidylcholine
PC 32:4,Phosphatidylcholine
PC 34:0,Phosphatidylcholine
PC 34:1,Phosphatidylcholine
PC 34:2,Phosphatidylcholine
PC 34:3,Phosphatidylcholine
PC 34:4,Phosphatidylcholine
PC 34:5,Phosphatidylcholine
PC 36:1,Phosphatidylcholine
PC 36:2,Phosphatidylcholine
PC 36:3,Phosphatidylcholine
PC 36:4,Phosphatidylcholine
PC 36:5,Phosphatidylcholine
PC 36:6,Phosphatidylcholine
PC 36:7,Phosphatidylcholine
PC 38:1,Phosphatidylcholine
PC 38:2,Phosphatidylcholine
PC 38:3,Phosphatidylcholine
PC 38:4,Phosphatidylcholine
PC 38:5,Phosphatidylcholine
PC 38:6,Phosphatidylcholine
PC 38:7,Phosphatidylcholine
PC 40:2,Phosphatidylcholine
PC 40:3,Phosphatidylcholine
PC 40:4,Phosphatidylcholine
PC 40:5,Phosphatidylcholine
PC 40:6,Phosphatidylcholine
PC 40:7,Phosphatidylcholine
PC 40:8,Phosphatidylcholine
PC 42:4,Phosphatidylcholine
PC 42:5,Phosphatidylcholine
PC 42:6,Phosphatidylcholine
PC 42:7,Phosphatidylcholine
PC 42:8,Phosphatidylcholine
PC 42:9,Phosphatidylcholine
PC 44:1,Phosphatidylcholine
PC 44:10,Phosphatidylcholine
PC 44:6,Phosphatidylcholine
PC 44:7,Phosphatidylcholine
PC 44:8,Phosphatidylcholine
PC 44:9,Phosphatidylcholine
PC e 26:0,Plasmanylcholine 
PC e 28:0,Plasmanylcholine 
PC e 30:0,Plasmanylcholine 
PC e 30:1,Plasmanylcholine 
PC e 32:0,Plasmanylcholine 
PC e 32:1,Plasmanylcholine 
PC e 32:2,Plasmanylcholine 
PC e 34:1,Plasmanylcholine 
PC e 34:2,Plasmanylcholine 
PC e 34:0,Plasmanylcholine 
PC e 34:3,Plasmanylcholine 
PC e 34:4,Plasmanylcholine 
PC e 34:5,Plasmanylcholine 
PC e 36:1,Plasmanylcholine 
PC e 36:2,Plasmanylcholine 
PC e 36:4,Plasmanylcholine 
PC e 36:3,Plasmanylcholine 
PC e 36:5,Plasmanylcholine 
PC e 36:6,Plasmanylcholine 
PC e 36:7,Plasmanylcholine 
PC e 38:3,Plasmanylcholine 
PC e 38:5,Plasmanylcholine 
PC e 38:4,Plasmanylcholine 
PC e 38:6,Plasmanylcholine 
PC e 38:7,Plasmanylcholine 
PC e 38:8,Plasmanylcholine 
PC e 40:10,Plasmanylcholine 
PC e 40:4,Plasmanylcholine 
PC e 40:5,Plasmanylcholine 
PC e 40:6,Plasmanylcholine 
PC e 40:7,Plasmanylcholine 
PC e 40:8,Plasmanylcholine 
PC e 40:9,Plasmanylcholine 
PC e 42:10,Plasmanylcholine 
PC e 42:6,Plasmanylcholine 
PC e 46:0,Plasmanylcholine 
PE 30:1,Phosphatidylethanolamine
PE 32:0,Phosphatidylethanolamine
PE 32:1,Phosphatidylethanolamine
PE 32:2,Phosphatidylethanolamine
PE 34:0,Phosphatidylethanolamine
PE 34:1,Phosphatidylethanolamine
PE 34:2,Phosphatidylethanolamine
PE 34:3,Phosphatidylethanolamine
PE 34:4,Phosphatidylethanolamine
PE 34:5,Phosphatidylethanolamine
PE 36:0,Phosphatidylethanolamine
PE 36:1,Phosphatidylethanolamine
PE 36:2,Phosphatidylethanolamine
PE 36:3,Phosphatidylethanolamine
PE 36:4,Phosphatidylethanolamine
PE 36:5,Phosphatidylethanolamine
PE 36:6,Phosphatidylethanolamine
PE 38:1,Phosphatidylethanolamine
PE 38:2,Phosphatidylethanolamine
PE 38:3,Phosphatidylethanolamine
PE 38:4,Phosphatidylethanolamine
PE 38:5,Phosphatidylethanolamine
PE 38:6,Phosphatidylethanolamine
PE 38:7,Phosphatidylethanolamine
PE 40:2,Phosphatidylethanolamine
PE 40:3,Phosphatidylethanolamine
PE 40:4,Phosphatidylethanolamine
PE 40:5,Phosphatidylethanolamine
PE 40:6,Phosphatidylethanolamine
PE 40:7,Phosphatidylethanolamine
PE 40:8,Phosphatidylethanolamine
PE 40:9,Phosphatidylethanolamine
PE 42:11,Phosphatidylethanolamine
PE 42:4,Phosphatidylethanolamine
PE 42:5,Phosphatidylethanolamine
PE 42:6,Phosphatidylethanolamine
PE 42:7,Phosphatidylethanolamine
PE 42:8,Phosphatidylethanolamine
PE 42:9,Phosphatidylethanolamine
PE 44:10,Phosphatidylethanolamine
PE 44:7,Phosphatidylethanolamine
PE 44:8,Phosphatidylethanolamine
PE 44:9,Phosphatidylethanolamine
PE 46:1,Phosphatidylethanolamine
PE 46:3,Phosphatidylethanolamine
Phenylalanine,Amino Acid
Proline,Amino Acid
Serine,Amino Acid
Threonine,Amino Acid
Tryptophan,Amino Acid
Tyrosine,Amino Acid
Valine,Amino Acid